104.17.142.42,4,4,0.00,161.10,72.11,SJC
104.17.156.220,4,4,0.00,159.52,71.86,SJC
108.162.198.177,4,4,0.00,162.24,71.33,SJC
104.17.153.117,4,4,0.00,160.39,70.41,SJC
104.17.128.27,4,4,0.00,157.86,68.36,SJC
104.17.154.63,4,4,0.00,161.38,67.43,SJC
104.17.132.57,4,4,0.00,163.71,67.09,SJC
104.17.136.166,4,4,0.00,163.91,60.87,SJC
104.17.131.247,4,4,0.00,164.10,56.69,SJC
190.93.244.221,4,4,0.00,175.66,56.59,LAX
104.21.204.69,4,4,0.00,199.21,55.54,LAX
104.18.176.201,4,4,0.00,199.58,51.95,LAX
198.41.222.62,4,4,0.00,193.14,51.83,LAX
104.24.77.178,4,4,0.00,194.79,51.05,LAX
104.21.82.121,4,4,0.00,191.51,47.86,LAX
104.17.43.190,4,4,0.00,198.48,45.39,LAX
172.64.86.28,4,4,0.00,199.80,42.61,LAX
104.21.95.145,4,4,0.00,197.88,39.52,LAX
104.17.23.84,4,4,0.00,197.82,29.76,LAX
104.21.89.116,4,4,0.00,185.23,28.40,LAX
104.27.110.72,4,4,0.00,194.43,25.58,LAX
188.114.98.6,4,4,0.00,199.69,21.86,LAX
104.17.176.70,4,4,0.00,198.00,21.57,LAX
104.16.251.161,4,4,0.00,191.81,20.91,LAX
198.41.192.0,4,4,0.00,199.44,19.98,LAX
188.114.99.56,4,4,0.00,176.56,19.93,LAX
141.101.115.111,4,4,0.00,199.92,19.64,LAX
104.17.159.183,4,4,0.00,182.63,18.62,SJC
104.17.147.148,4,4,0.00,198.26,16.99,SJC
198.41.203.45,4,4,0.00,175.00,15.18,LAX
104.25.55.28,4,4,0.00,197.14,13.99,LAX
172.64.52.219,4,4,0.00,199.87,11.63,LAX
104.21.1.102,4,4,0.00,199.15,11.43,LAX
188.114.96.52,4,4,0.00,176.36,10.64,LAX
104.17.139.74,4,4,0.00,197.92,10.46,SJC
173.245.49.187,4,4,0.00,199.70,10.41,LAX
104.21.27.146,4,4,0.00,192.81,8.28,LAX
198.41.204.76,4,4,0.00,179.81,7.74,LAX
104.19.144.146,4,4,0.00,199.25,6.61,LAX
104.16.240.19,4,4,0.00,195.18,5.28,LAX
104.27.57.222,4,4,0.00,179.67,3.79,LAX
141.101.123.188,4,4,0.00,178.53,3.72,LAX
104.19.55.27,4,4,0.00,199.88,2.41,LAX
104.21.99.225,4,4,0.00,158.85,30.53,LAX
104.18.255.25,4,4,0.00,158.94,29.03,LAX
104.24.18.1,4,4,0.00,158.86,28.87,LAX
104.21.72.130,4,4,0.00,158.18,28.69,LAX
172.67.194.239,4,4,0.00,158.60,28.58,LAX
104.24.53.33,4,4,0.00,158.07,27.70,LAX
104.17.73.132,4,4,0.00,159.05,27.41,LAX
104.27.12.120,4,4,0.00,158.93,27.34,LAX
162.159.146.7,4,4,0.00,158.87,27.08,LAX
104.24.10.180,4,4,0.00,159.17,25.53,LAX
